Patente,Hora,T_viaje,T_viaje_str,Velocidad
NVX004,2019-10-03T08:37:02,296,0:04:56,18.243243243243242
AA961EG,2019-10-03T08:37:13,242,0:04:02,22.31404958677686
AD581VU,2019-10-03T08:37:14,242,0:04:02,22.31404958677686
AD325UM,2019-10-03T08:37:16,230,0:03:50,23.478260869565215
KRW592,2019-10-03T08:37:17,215,0:03:35,25.116279069767444
MXY913,2019-10-03T08:37:21,216,0:03:36,25.0
MPM330,2019-10-03T08:37:26,217,0:03:37,24.88479262672811
AA792ZM,2019-10-03T08:37:28,212,0:03:32,25.471698113207548
MUO411,2019-10-03T08:37:30,213,0:03:33,25.35211267605634
AD526YH,2019-10-03T08:37:32,151,0:02:31,35.76158940397351
AD250UI,2019-10-03T08:37:34,203,0:03:23,26.60098522167488
FRV654,2019-10-03T08:37:43,157,0:02:37,34.39490445859873
AB119DY,2019-10-03T08:37:52,229,0:03:49,23.580786026200872
LOH677,2019-10-03T08:39:05,234,0:03:54,23.07692307692308
AA654XN,2019-10-03T08:39:07,218,0:03:38,24.770642201834864
AC584JH,2019-10-03T08:39:13,217,0:03:37,24.88479262672811
JFC902,2019-10-03T08:39:22,222,0:03:42,24.324324324324326
GXI548,2019-10-03T08:39:29,222,0:03:42,24.324324324324326
JMA061,2019-10-03T08:39:30,119,0:01:59,45.378151260504204
PBR288,2019-10-03T08:39:36,226,0:03:46,23.893805309734514
HHE166,2019-10-03T08:39:47,137,0:02:17,39.416058394160586
AC943GU,2019-10-03T08:39:49,135,0:02:15,40.0
AC949VN,2019-10-03T08:40:59,202,0:03:22,26.732673267326735
AD598KD,2019-10-03T08:41:08,194,0:03:14,27.835051546391753
AA446AC,2019-10-03T08:41:15,210,0:03:30,25.714285714285715
AC984WN,2019-10-03T08:42:51,225,0:03:45,24.0
PMI809,2019-10-03T08:42:59,235,0:03:55,22.97872340425532
AB045ZS,2019-10-03T08:43:01,215,0:03:35,25.116279069767444
AB880PV,2019-10-03T08:43:15,227,0:03:47,23.788546255506606
AC207RY,2019-10-03T08:43:17,211,0:03:31,25.592417061611375
OPL145,2019-10-03T08:43:18,223,0:03:43,24.2152466367713
NTW240,2019-10-03T08:43:26,256,0:04:16,21.09375
AC981TC,2019-10-03T08:43:38,127,0:02:07,42.51968503937008
KFH399,2019-10-03T08:43:55,148,0:02:28,36.486486486486484
AA249FC,2019-10-03T08:43:56,144,0:02:24,37.5
AC794BI,2019-10-03T08:45:07,211,0:03:31,25.592417061611375
AB671ZD,2019-10-03T08:45:33,218,0:03:38,24.770642201834864
HUN757,2019-10-03T08:45:49,206,0:03:26,26.21359223300971
FZD382,2019-10-03T08:46:53,212,0:03:32,25.471698113207548
AB672GV,2019-10-03T08:46:54,203,0:03:23,26.60098522167488
AC856WU,2019-10-03T08:47:19,211,0:03:31,25.592417061611375
AB380GI,2019-10-03T08:47:46,138,0:02:18,39.130434782608695
AA429HR,2019-10-03T08:47:50,162,0:02:42,33.333333333333336
AD430GM,2019-10-03T08:47:53,152,0:02:32,35.526315789473685
AC368TF,2019-10-03T08:47:57,140,0:02:20,38.57142857142857
AC625MC,2019-10-03T08:49:11,313,0:05:13,17.252396166134183
PIB000,2019-10-03T08:49:16,206,0:03:26,26.21359223300971
HUL270,2019-10-03T08:49:38,151,0:02:31,35.76158940397351
POM039,2019-10-03T08:49:51,279,0:04:39,19.35483870967742
AC052QW,2019-10-03T08:50:55,203,0:03:23,26.60098522167488
AB445DV,2019-10-03T08:50:57,197,0:03:17,27.411167512690355
JRC588,2019-10-03T08:50:59,188,0:03:08,28.72340425531915
OLI401,2019-10-03T08:51:55,119,0:01:59,45.378151260504204
AD695BS,2019-10-03T08:51:56,140,0:02:20,38.57142857142857
A031SX0,2019-10-03T08:52:50,282,0:04:42,19.148936170212767
